model_response_length,model_response_unique,model_response_(,model_response_),model_response_{,model_response_},model_response_[,model_response_],model_response_;,model_response_.,"model_response_,",model_response_:,model_response_<,model_response_>,model_response_+,model_response_-,model_response_*,model_response_/,model_response_%,model_response_&,model_response_|,model_response_!,model_response_^,model_response_~,model_response_#,model_response_\,model_response_@,model_response_nil,model_response_#include,model_response_import,model_response_java,model_response_<-,model_response_package,model_response_:=,prompt_length,prompt_unique,prompt_(,prompt_),prompt_{,prompt_},prompt_[,prompt_],prompt_;,prompt_.,"prompt_,",prompt_:,prompt_<,prompt_>,prompt_+,prompt_-,prompt_*,prompt_/,prompt_%,prompt_&,prompt_|,prompt_!,prompt_^,prompt_~,prompt_#,prompt_\,prompt_@,prompt_nil,prompt_#include,prompt_import,prompt_java,prompt_<-,prompt_package,prompt_:=,target
20,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5262,267,51,49,36,34,7,7,48,43,93,65,25,40,0,10,1,17,0,5,7,2,0,0,0,0,4,0,0,7,0,0,0,0,0
15,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2817,167,34,34,23,22,21,21,45,26,16,33,2,12,4,1,0,16,0,2,3,5,0,0,0,0,0,0,0,6,0,0,0,0,1
35,5,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1214,65,11,11,8,5,2,2,20,5,4,34,3,3,0,0,2,15,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0
25,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,54,12622,310,415,415,111,113,2,2,2,433,123,123,0,3,4,4,2,32,24,14,20,26,0,0,0,0,0,9,0,0,0,0,0,54,0
18,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1081,68,6,6,12,9,1,1,17,29,16,12,3,8,0,1,0,15,0,0,0,1,0,0,0,0,1,0,0,9,0,0,0,0,0
5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,1,0,2938,79,53,53,15,13,0,0,36,68,7,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,2,0,1,0,0
27,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,3914,206,28,28,3,3,6,6,1,73,39,17,0,0,0,0,2,13,0,0,0,0,0,0,3,0,1,0,0,27,0,0,0,0,1
74,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6185,163,45,44,10,9,7,7,0,59,106,44,0,0,2,0,0,0,0,0,0,0,0,0,5,0,2,0,0,6,0,0,0,0,1
42,2,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3067,148,0,0,19,18,44,44,74,0,10,61,35,35,0,1,3,3,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
48,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,3036,75,28,27,33,30,6,5,25,9,30,21,0,4,0,22,0,15,0,0,0,0,0,0,0,0,11,0,0,14,0,0,1,0,1
18,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,24,11269,468,116,116,39,37,13,13,1,261,186,189,76,76,0,89,6,105,0,6,0,1,0,0,1,30,15,8,0,0,0,0,0,24,0
16,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,0,1,0,0,1,16,6618,278,73,73,36,35,22,22,1,152,175,76,0,0,0,34,5,190,12,4,4,9,0,0,2,0,0,31,0,1,0,0,1,16,0
20,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2282,124,29,29,14,12,0,0,27,16,46,27,17,15,3,6,1,32,0,5,0,0,0,0,4,0,0,0,4,0,0,0,0,0,1
81,3,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5998,157,32,31,1,1,3,2,0,62,109,208,0,0,0,102,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,1
50,2,3,3,0,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3941,80,117,117,10,7,0,0,60,10,21,101,55,102,2,50,34,16,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,1
64,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2324,86,19,17,2,1,0,0,0,38,27,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,0
41,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1436,66,28,26,10,8,4,4,0,9,12,1,8,15,0,3,0,4,0,0,2,0,0,0,0,0,2,0,0,3,0,0,0,0,1
70,8,2,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,6,8382,325,213,213,29,28,4,4,5,239,193,63,7,6,3,34,5,24,0,4,0,0,0,0,0,9,11,2,0,1,0,0,1,6,0
95,6,3,3,0,0,0,0,1,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,0,1,0,1159,53,5,5,4,1,0,0,24,62,0,0,2,2,2,0,4,4,0,0,0,1,0,0,0,0,0,0,0,19,12,0,1,0,0
12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,6159,227,58,57,79,78,10,10,49,47,32,18,41,56,0,48,0,60,0,10,6,0,0,0,0,0,9,0,0,18,0,0,0,0,1
74,2,1,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,1,0,3289,134,40,39,13,10,0,0,29,69,19,4,11,11,1,0,8,6,0,2,0,2,0,0,0,0,4,0,0,11,6,0,1,0,0
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1388,80,5,5,0,0,3,2,0,29,7,10,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,8,0,0,0,0,0
38,2,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,914,64,5,5,9,8,0,0,21,6,13,17,0,0,1,20,0,9,1,2,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0
40,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,988,55,22,22,4,3,1,1,0,11,14,2,0,5,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
21,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2909,126,37,36,33,32,2,2,37,30,13,9,6,11,0,15,0,37,0,8,6,8,0,0,0,0,8,0,0,9,0,0,0,0,0
36,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,1,12,4773,341,45,45,19,17,6,6,4,75,62,23,0,0,4,26,1,65,1,7,0,11,0,0,0,0,1,10,0,1,0,0,1,12,1
24,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,1,7174,345,35,35,4,4,8,8,1,114,55,36,0,4,1,3,1,5,0,0,3,0,0,0,0,4,2,0,0,39,0,0,0,1,0
40,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1966,114,15,12,25,21,3,3,22,11,19,13,9,11,0,19,0,22,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0
44,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,1,0,0,1,29,4961,195,62,62,25,24,4,4,3,79,73,61,1,0,2,12,10,68,5,4,0,5,0,0,0,0,3,10,0,1,0,0,1,29,1
107,5,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,0,1,0,4435,133,42,42,12,10,0,0,60,184,20,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,31,8,0,1,0,0
44,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3704,227,25,24,20,17,4,3,0,48,45,33,3,3,0,3,4,0,4,0,1,0,0,0,43,0,1,0,0,8,0,0,0,0,1
74,10,3,3,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,36,9955,495,235,236,117,116,25,26,2,309,129,99,5,3,12,11,36,135,8,20,18,15,0,1,0,15,0,7,0,0,0,0,0,36,0
46,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,5,0,1,0,0,1,26,7838,451,153,153,75,73,12,13,0,200,64,68,10,15,8,25,29,136,11,25,10,16,0,0,0,1,3,5,0,1,0,0,1,26,0
45,3,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1047,55,6,6,1,1,0,0,0,19,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0
17,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2516,172,12,12,5,4,4,4,0,23,14,6,0,0,0,27,1,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1
21,2,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3758,190,52,51,33,31,18,18,49,40,38,26,4,19,0,4,0,31,0,3,5,3,0,0,0,0,9,0,0,13,0,0,0,0,0
46,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1003,63,3,3,2,1,0,0,0,11,9,13,0,0,3,171,2,9,0,0,0,1,0,0,4,0,5,0,0,6,0,0,0,0,0
40,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,0,1,0,3484,96,39,39,7,6,0,0,49,151,15,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,24,6,0,1,0,0
51,4,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3557,76,190,188,18,16,0,0,79,212,19,0,0,17,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
75,1,3,4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,0,1,0,3316,69,57,56,13,11,0,0,39,144,6,0,2,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,21,6,0,1,0,0
53,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,1,0,1525,57,12,12,6,2,0,0,20,66,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,4,0,1,0,0
58,7,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,1,5,1220,67,12,12,16,14,4,4,2,116,27,23,0,0,0,2,1,8,4,0,0,8,0,0,0,0,0,3,0,1,0,0,1,5,1
25,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1041,57,18,18,8,5,0,0,15,29,2,2,0,0,0,0,0,0,0,0,2,1,0,0,0,8,4,0,0,4,1,0,1,0,1
33,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15928,343,349,349,49,51,2,2,195,171,202,140,29,3,0,9,9,48,0,17,9,2,0,0,8,0,0,0,0,0,0,0,0,0,0
38,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,4995,349,27,26,20,20,3,3,3,56,39,36,4,13,0,18,4,0,10,0,0,0,0,0,40,0,3,0,0,14,0,0,0,0,0
83,6,1,1,1,1,0,0,0,2,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1263,89,26,26,2,1,0,0,0,45,14,6,0,0,0,1,1,30,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,1
49,3,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2307,140,18,16,11,10,1,1,0,19,32,7,4,5,0,9,1,18,0,0,2,2,0,0,1,0,2,0,0,9,0,0,0,0,0
75,4,2,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,0,1,0,14124,302,265,265,57,54,0,0,145,332,127,7,29,35,7,14,31,12,58,10,4,4,0,0,0,0,17,0,0,28,10,0,1,0,1
38,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,1,0,1565,47,4,4,2,0,0,0,27,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,22,3,0,1,0,0
36,5,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6402,115,131,128,64,62,44,43,0,72,126,119,6,17,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0
30,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,4864,323,55,55,21,20,9,9,0,87,14,2,0,0,1,6,27,98,0,2,0,2,0,0,0,0,0,4,0,1,0,0,1,0,0
18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8066,184,180,176,85,81,12,12,0,76,81,95,5,41,0,3,0,4,0,3,0,3,0,0,0,0,0,0,0,5,0,0,0,0,1
64,4,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,8196,347,115,115,15,15,9,9,0,165,67,56,0,0,0,10,1,16,0,0,0,0,0,0,5,7,14,0,0,18,0,0,0,0,0
33,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,1,9,4546,142,97,96,23,22,2,2,4,175,65,18,0,0,1,6,29,44,0,1,0,9,0,0,0,0,0,18,0,1,0,0,1,9,1
95,12,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,0,1,22,6724,320,95,95,52,49,15,15,1,115,60,51,2,2,1,10,33,63,8,9,0,5,0,0,0,0,0,8,0,1,0,0,1,22,0
35,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1366,63,23,23,8,6,1,1,15,10,10,26,7,6,2,0,0,7,0,3,4,0,0,1,3,0,0,0,3,0,0,0,0,0,1
46,1,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1206,81,20,17,13,10,0,0,0,10,18,8,1,8,0,1,0,2,0,0,2,1,0,0,0,0,1,0,0,5,0,0,0,0,0
28,3,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,14321,550,157,156,143,140,60,60,179,169,175,104,26,65,1,1,0,33,0,12,45,11,0,0,0,0,3,0,0,12,0,0,0,0,1
69,6,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,6694,269,64,64,11,11,37,37,0,85,78,66,0,7,0,7,0,3,0,0,0,1,0,0,1,0,0,0,0,12,0,0,0,0,1
19,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1360,75,22,21,5,3,1,1,0,33,20,11,0,0,1,1,1,15,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,1,1
58,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,1,0,3125,108,49,49,3,1,0,0,50,122,4,0,3,5,3,8,4,2,0,0,0,0,0,0,0,0,1,0,0,18,3,0,1,0,1
38,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1195,100,6,6,8,6,4,4,14,3,15,17,4,4,0,0,0,19,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
25,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,3391,233,20,20,29,29,0,0,0,41,48,20,7,9,3,8,5,28,0,2,4,2,0,0,0,2,2,0,0,11,0,0,1,0,0
55,3,3,3,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,7,3378,190,79,79,22,19,0,0,1,79,28,25,0,0,5,3,1,35,7,0,6,6,0,0,0,0,0,4,0,1,0,0,1,7,0
52,2,2,3,1,2,0,0,1,0,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3202,142,37,36,20,17,0,0,29,17,37,55,33,38,0,8,4,47,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,1
43,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,1,0,3034,96,50,50,9,7,0,0,42,121,12,12,14,14,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,17,5,0,1,0,1
13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,954,52,1,0,13,12,1,1,13,0,15,10,1,1,0,5,0,20,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0
77,7,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2169,124,16,14,28,26,3,3,29,5,21,4,10,11,0,20,0,35,0,1,4,3,0,0,0,0,11,0,0,14,0,0,0,0,0
33,3,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,1,0,0,1,54,10261,577,124,123,62,58,23,23,5,187,184,77,2,5,4,14,3,77,30,16,4,16,0,0,0,2,0,31,0,1,0,0,1,54,0
83,5,3,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,1,0,1489,63,6,6,4,2,0,0,20,72,4,0,0,0,0,0,4,4,0,0,0,1,0,0,0,0,2,0,0,15,3,0,1,0,0
18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12778,265,240,237,78,76,16,16,0,126,263,195,8,46,0,17,0,4,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1
57,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2343,126,23,23,6,6,7,7,0,26,29,27,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
19,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2446,119,17,16,2,2,9,9,0,26,43,14,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0,0,0,0,0
70,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,1,0,13271,535,141,141,11,11,41,41,13,129,170,66,0,2,53,39,2,42,26,4,0,7,1,0,22,26,3,0,0,32,0,0,1,0,0
55,6,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,3653,227,43,43,11,8,11,11,27,38,19,41,8,11,0,5,2,66,0,10,4,6,0,0,28,0,0,0,14,0,0,0,0,0,1
92,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,7439,145,82,82,22,22,2,2,51,30,30,346,33,37,0,8,33,97,0,2,0,0,0,0,23,0,0,0,23,0,0,0,0,0,0
27,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1359,75,10,9,6,6,4,2,1,23,10,6,0,0,0,5,3,1,6,0,0,0,0,0,2,1,0,0,0,13,0,0,0,0,0
30,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,4123,139,72,69,36,33,11,11,0,36,56,33,6,19,0,7,0,23,0,0,1,0,0,0,0,0,3,0,0,15,0,0,0,0,1
16,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,8,3498,247,33,33,13,10,13,13,0,79,56,17,0,3,0,12,5,61,0,5,4,2,0,0,0,0,0,2,0,1,0,0,1,8,0
14,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1860,100,17,16,13,12,4,4,17,24,37,17,1,3,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,1
25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,15,2769,128,40,40,13,12,5,5,3,54,20,19,0,0,0,7,4,39,3,0,0,5,0,0,0,0,0,4,0,1,0,0,1,15,0
19,2,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2380,130,23,22,21,19,9,9,24,24,20,9,15,20,0,13,0,28,0,2,2,0,0,0,0,0,6,0,0,8,0,0,0,0,1
43,8,3,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2704,76,76,73,47,44,7,7,0,9,34,38,7,35,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1
22,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,5693,208,35,34,53,52,3,3,35,39,26,17,52,63,0,55,0,63,0,4,0,4,0,0,0,0,11,0,0,14,0,0,0,0,0
